symbol	ensg	source
NANOS3	ENSG00000187556	CARTSC
NBPF3	ENSG00000142794	CARTSC
NBPF4	ENSG00000196427	CARTSC
NCAM1	ENSG00000149294	CARTSC
NCAN	ENSG00000130287	CARTSC
NEK2	ENSG00000117650	CARTSC
NFATC1	ENSG00000131196	CARTSC
NGB	ENSG00000165553	CARTSC
NIBAN3	ENSG00000167483	CARTSC
NKX3-1	ENSG00000167034	CARTSC
NLGN4X	ENSG00000146938	CARTSC
NLGN4Y	ENSG00000165246	CARTSC
NOS3	ENSG00000164867	CARTSC
NPW	ENSG00000183971	CARTSC
NRK	ENSG00000123572	CARTSC
NUP210L	ENSG00000143552	CARTSC
NUP62CL	ENSG00000198088	CARTSC
NUTM1	ENSG00000184507	CARTSC
NXF3	ENSG00000147206	CARTSC
ODF1	ENSG00000155087	CARTSC
ODF3	ENSG00000177947	CARTSC
OLAH	ENSG00000152463	CARTSC
ONECUT2	ENSG00000119547	CARTSC
OOEP	ENSG00000203907	CARTSC
OPRK1	ENSG00000082556	CARTSC
OR51J1	ENSG00000184321	CARTSC
OTP	ENSG00000171540	CARTSC
OTUB2	ENSG00000089723	CARTSC
P2RX5	ENSG00000083454	CARTSC
P2RY8	ENSG00000182162	CARTSC
PABPC3	ENSG00000151846	CARTSC
PADI4	ENSG00000159339	CARTSC
PAGE1	ENSG00000068985	CARTSC
PAGE4	ENSG00000101951	CARTSC
PAK3	ENSG00000077264	CARTSC
PAPPA	ENSG00000182752	CARTSC
PASD1	ENSG00000166049	CARTSC
PAX2	ENSG00000075891	CARTSC
PAX5	ENSG00000196092	CARTSC
PBX4	ENSG00000105717	CARTSC
PCDH11Y	ENSG00000099715	CARTSC
PDE10A	ENSG00000112541	CARTSC
PDE7B	ENSG00000171408	CARTSC
PEG10	ENSG00000242265	CARTSC
PF4	ENSG00000163737	CARTSC
PF4V1	ENSG00000109272	CARTSC
PGK2	ENSG00000170950	CARTSC
PIP4K2B	ENSG00000276293	CARTSC
PITPNM3	ENSG00000091622	CARTSC
PLA2G4F	ENSG00000168907	CARTSC
PLG	ENSG00000122194	CARTSC
PLXNC1	ENSG00000136040	CARTSC
PMEL	ENSG00000185664	CARTSC
PNLDC1	ENSG00000146453	CARTSC
PNMA5	ENSG00000198883	CARTSC
POM121L12	ENSG00000221900	CARTSC
POU2AF1	ENSG00000110777	CARTSC
POU2F2	ENSG00000028277	CARTSC
PPBP	ENSG00000163736	CARTSC
PPP1R36	ENSG00000165807	CARTSC
PRAC1	ENSG00000159182	CARTSC
PRAM1	ENSG00000133246	CARTSC
PRF1	ENSG00000180644	CARTSC
PRG2	ENSG00000186652	CARTSC
PRG3	ENSG00000156575	CARTSC
PROM1	ENSG00000007062	CARTSC
PROP1	ENSG00000175325	CARTSC
PSCA	ENSG00000167653	CARTSC
PSG1	ENSG00000231924	CARTSC
PSG4	ENSG00000243137	CARTSC
PTGES	ENSG00000148344	CARTSC
RAD21L1	ENSG00000244588	CARTSC
RBMXL2	ENSG00000170748	CARTSC
RBMXL3	ENSG00000175718	CARTSC
RBMY1A1	ENSG00000234414	CARTSC
RBMY1B	ENSG00000242875	CARTSC
RBMY1D	ENSG00000244395	CARTSC
RBMY1E	ENSG00000242389	CARTSC
RBMY1F	ENSG00000169800	CARTSC
RBMY1J	ENSG00000226941	CARTSC
RGPD1	ENSG00000187627	CARTSC
RGPD8	ENSG00000169629	CARTSC
RHAG	ENSG00000112077	CARTSC
RIPK4	ENSG00000183421	CARTSC
RIT2	ENSG00000152214	CARTSC
RNASE2	ENSG00000169385	CARTSC
RNASE3	ENSG00000169397	CARTSC
RND2	ENSG00000108830	CARTSC
ROR1	ENSG00000185483	CARTSC
ROR2	ENSG00000169071	CARTSC
RTL10	ENSG00000215012	CARTSC
RUNX1T1	ENSG00000079102	CARTSC
SAGE1	ENSG00000181433	CARTSC
SALL4	ENSG00000101115	CARTSC
SASH3	ENSG00000122122	CARTSC
SCARF1	ENSG00000074660	CARTSC
SDC1	ENSG00000115884	CARTSC
SCGB2A2	ENSG00000110484	CARTSC
SELE	ENSG00000007908	CARTSC
SELP	ENSG00000174175	CARTSC
SEMG1	ENSG00000124233	CARTSC
SEMG2	ENSG00000124157	CARTSC
SERPINA4	ENSG00000100665	CARTSC
SERPINB2	ENSG00000197632	CARTSC
SERPINB9	ENSG00000170542	CARTSC
SERPIND1	ENSG00000099937	CARTSC
SFRP4	ENSG00000106483	CARTSC
SFTPB	ENSG00000168878	CARTSC
SH2D7	ENSG00000183476	CARTSC
SIGLEC10	ENSG00000142512	CARTSC
SIGLEC8	ENSG00000105366	CARTSC
SKP2	ENSG00000145604	CARTSC
SLAMF7	ENSG00000026751	CARTSC
SLC13A5	ENSG00000141485	CARTSC
SLC15A1	ENSG00000088386	CARTSC
SLC19A1	ENSG00000173638	CARTSC
SLC22A12	ENSG00000197891	CARTSC
SLC26A4	ENSG00000091137	CARTSC
SLC2A14	ENSG00000173262	CARTSC
SLC34A1	ENSG00000131183	CARTSC
SLC45A3	ENSG00000158715	CARTSC
SLC46A2	ENSG00000119457	CARTSC
SLC4A1	ENSG00000004939	CARTSC
SLC6A11	ENSG00000132164	CARTSC
SLC7A14	ENSG00000013293	CARTSC
SLC7A3	ENSG00000165349	CARTSC
SOX11	ENSG00000176887	CARTSC
SOX2	ENSG00000181449	CARTSC
SOX30	ENSG00000039600	CARTSC
SPAG17	ENSG00000155761	CARTSC
SPATA19	ENSG00000166118	CARTSC
SPATA32	ENSG00000184361	CARTSC
SPATS1	ENSG00000249481	CARTSC
SPESP1	ENSG00000258484	CARTSC
SRCIN1	ENSG00000277363	CARTSC
SSX1	ENSG00000126752	CARTSC
SSX2	ENSG00000241476	CARTSC
SSX2B	ENSG00000268447	CARTSC
SSX3	ENSG00000165584	CARTSC
SSX4	ENSG00000268009	CARTSC
SSX4B	ENSG00000269791	CARTSC
STAP1	ENSG00000035720	CARTSC
STK31	ENSG00000196335	CARTSC
STS	ENSG00000101846	CARTSC
SULT1B1	ENSG00000173597	CARTSC
SV2C	ENSG00000122012	CARTSC
SYCP1	ENSG00000198765	CARTSC
SYT16	ENSG00000139973	CARTSC
SYT2	ENSG00000143858	CARTSC
TAF7L	ENSG00000102387	CARTSC
TAL1	ENSG00000162367	CARTSC
TBC1D21	ENSG00000167139	CARTSC
TBX21	ENSG00000073861	CARTSC
TCF7	ENSG00000081059	CARTSC
TCL1A	ENSG00000100721	CARTSC
TECTA	ENSG00000109927	CARTSC
TEDC2	ENSG00000162062	CARTSC
TEKT1	ENSG00000167858	CARTSC
TERT	ENSG00000164362	CARTSC
TEX33	ENSG00000185264	CARTSC
TFPI2	ENSG00000105825	CARTSC
TGM3	ENSG00000125780	CARTSC
TGM4	ENSG00000163810	CARTSC
THBS4	ENSG00000113296	CARTSC
THRB	ENSG00000151090	CARTSC
TINAG	ENSG00000137251	CARTSC
TLX3	ENSG00000164438	CARTSC
TM4SF1	ENSG00000169908	CARTSC
TMEM132D	ENSG00000151952	CARTSC
TMEM150C	ENSG00000249242	CARTSC
TMEM154	ENSG00000170006	CARTSC
TMEM210	ENSG00000185863	CARTSC
TNFRSF10B	ENSG00000120889	CARTSC
TNFRSF10C	ENSG00000173535	CARTSC
TNFRSF13B	ENSG00000240505	CARTSC
TNFRSF13C	ENSG00000159958	CARTSC
TNFRSF17	ENSG00000048462	CARTSC
TNFRSF4	ENSG00000186827	CARTSC
TNFRSF8	ENSG00000120949	CARTSC
TNFSF11	ENSG00000120659	CARTSC
TNR	ENSG00000116147	CARTSC
TOX	ENSG00000198846	CARTSC
TRBC1	ENSG00000211751	CARTSC
TRIM60	ENSG00000176979	CARTSC
TSPAN16	ENSG00000130167	CARTSC
TSPEAR	ENSG00000175894	CARTSC
TSPY1	ENSG00000258992	CARTSC
TSPY10	ENSG00000236424	CARTSC
TSPY2	ENSG00000168757	CARTSC
TSPY3	ENSG00000228927	CARTSC
TSPY4	ENSG00000233803	CARTSC
TSPY8	ENSG00000229549	CARTSC
TSPYL6	ENSG00000178021	CARTSC
TSSK4	ENSG00000139908	CARTSC
TUBB2B	ENSG00000137285	CARTSC
TUBB4A	ENSG00000104833	CARTSC
UBA6	ENSG00000033178	CARTSC
UBL4B	ENSG00000186150	CARTSC
ULBP1	ENSG00000111981	CARTSC
ULBP2	ENSG00000131015	CARTSC
ULBP3	ENSG00000131019	CARTSC
ULBP4	ENSG00000164520	CARTSC
ULBP5	ENSG00000203722	CARTSC
ULBP6	ENSG00000155918	CARTSC
ULK4	ENSG00000168038	CARTSC
UPK1A	ENSG00000105668	CARTSC
UPK2	ENSG00000110375	CARTSC
UPK3B	ENSG00000243566	CARTSC
VNN1	ENSG00000112299	CARTSC
VTN	ENSG00000109072	CARTSC
VWA3B	ENSG00000168658	CARTSC
WDR62	ENSG00000075702	CARTSC
WNT10B	ENSG00000169884	CARTSC
ZAP70	ENSG00000115085	CARTSC
ZFAND4	ENSG00000172671	CARTSC
ZFAT	ENSG00000066827	CARTSC
ZFHX3	ENSG00000140836	CARTSC
ZGLP1	ENSG00000220201	CARTSC
ZIC3	ENSG00000156925	CARTSC
ZP2	ENSG00000103310	CARTSC
ZPBP	ENSG00000042813	CARTSC
ZSCAN1	ENSG00000152467	CARTSC
ABCB5	ENSG00000004846	HPA_tissue_enriched
SLC4A1	ENSG00000004939	HPA_tissue_enriched
MPO	ENSG00000005381	HPA_tissue_enriched
PON1	ENSG00000005421	HPA_tissue_enriched
ABCB4	ENSG00000005471	HPA_tissue_enriched
KRT33A	ENSG00000006059	HPA_tissue_enriched
TKTL1	ENSG00000007350	HPA_tissue_enriched
NOX1	ENSG00000007952	HPA_tissue_enriched
PGLYRP1	ENSG00000008438	HPA_tissue_enriched
IYD	ENSG00000009765	HPA_tissue_enriched
SLC6A13	ENSG00000010379	HPA_tissue_enriched
SLC6A7	ENSG00000011083	HPA_tissue_enriched
DPF1	ENSG00000011332	HPA_tissue_enriched
ZBTB32	ENSG00000011590	HPA_tissue_enriched
STMN4	ENSG00000015592	HPA_tissue_enriched
CLCA1	ENSG00000016490	HPA_tissue_enriched
CYP3A43	ENSG00000021461	HPA_tissue_enriched
C8B	ENSG00000021852	HPA_tissue_enriched
SLC18A1	ENSG00000036565	HPA_tissue_enriched
CASR	ENSG00000036828	HPA_tissue_enriched
CDH10	ENSG00000040731	HPA_tissue_enriched
ZPBP	ENSG00000042813	HPA_tissue_enriched
ZIC2	ENSG00000043355	HPA_tissue_enriched
GUCA2B	ENSG00000044012	HPA_tissue_enriched
GUCA1A	ENSG00000048545	HPA_tissue_enriched
ITIH1	ENSG00000055957	HPA_tissue_enriched
F7	ENSG00000057593	HPA_tissue_enriched
RASGRF1	ENSG00000058335	HPA_tissue_enriched
SEZ6	ENSG00000063015	HPA_tissue_enriched
DLX3	ENSG00000064195	HPA_tissue_enriched
ROPN1	ENSG00000065371	HPA_tissue_enriched
STAG3	ENSG00000066923	HPA_tissue_enriched
ATP2B3	ENSG00000067842	HPA_tissue_enriched
ADAM7	ENSG00000069206	HPA_tissue_enriched
GUCY2C	ENSG00000070019	HPA_tissue_enriched
SCT	ENSG00000070031	HPA_tissue_enriched
CNGB1	ENSG00000070729	HPA_tissue_enriched
EPHA8	ENSG00000070886	HPA_tissue_enriched
MS4A12	ENSG00000071203	HPA_tissue_enriched
ABCB11	ENSG00000073734	HPA_tissue_enriched
CD5L	ENSG00000073754	HPA_tissue_enriched
CDHR2	ENSG00000074276	HPA_tissue_enriched
KCNQ2	ENSG00000075043	HPA_tissue_enriched
CACNG4	ENSG00000075461	HPA_tissue_enriched
BPIFB2	ENSG00000078898	HPA_tissue_enriched
CDH17	ENSG00000079112	HPA_tissue_enriched
AFM	ENSG00000079557	HPA_tissue_enriched
RIMS1	ENSG00000079841	HPA_tissue_enriched
DCT	ENSG00000080166	HPA_tissue_enriched
RDH8	ENSG00000080511	HPA_tissue_enriched
CPB2	ENSG00000080618	HPA_tissue_enriched
IMPG2	ENSG00000081148	HPA_tissue_enriched
SLC13A1	ENSG00000081800	HPA_tissue_enriched
MPP4	ENSG00000082126	HPA_tissue_enriched
TRPM3	ENSG00000083067	HPA_tissue_enriched
GCKR	ENSG00000084734	HPA_tissue_enriched
AQP6	ENSG00000086159	HPA_tissue_enriched
F11	ENSG00000088926	HPA_tissue_enriched
SIRPG	ENSG00000089012	HPA_tissue_enriched
SI	ENSG00000090402	HPA_tissue_enriched
FETUB	ENSG00000090512	HPA_tissue_enriched
DLL3	ENSG00000090932	HPA_tissue_enriched
LAMB4	ENSG00000091128	HPA_tissue_enriched
SLC26A4	ENSG00000091137	HPA_tissue_enriched
SLC26A3	ENSG00000091138	HPA_tissue_enriched
MYO15A	ENSG00000091536	HPA_tissue_enriched
APOH	ENSG00000091583	HPA_tissue_enriched
CEBPE	ENSG00000092067	HPA_tissue_enriched
KRT31	ENSG00000094796	HPA_tissue_enriched
NXPE1	ENSG00000095110	HPA_tissue_enriched
TDRD1	ENSG00000095627	HPA_tissue_enriched
CATSPERG	ENSG00000099338	HPA_tissue_enriched
IGFALS	ENSG00000099769	HPA_tissue_enriched
HCN2	ENSG00000099822	HPA_tissue_enriched
SERPIND1	ENSG00000099937	HPA_tissue_enriched
UPB1	ENSG00000100024	HPA_tissue_enriched
SEZ6L	ENSG00000100095	HPA_tissue_enriched
GGTLC2	ENSG00000100121	HPA_tissue_enriched
SLC5A4	ENSG00000100191	HPA_tissue_enriched
CYP2D6	ENSG00000100197	HPA_tissue_enriched
MIOX	ENSG00000100253	HPA_tissue_enriched
ACR	ENSG00000100312	HPA_tissue_enriched
CABP7	ENSG00000100314	HPA_tissue_enriched
PNPLA3	ENSG00000100344	HPA_tissue_enriched
ISM2	ENSG00000100593	HPA_tissue_enriched
SERPINA4	ENSG00000100665	HPA_tissue_enriched
TCL1A	ENSG00000100721	HPA_tissue_enriched
CPNE6	ENSG00000100884	HPA_tissue_enriched
HRH3	ENSG00000101180	HPA_tissue_enriched
NTSR1	ENSG00000101188	HPA_tissue_enriched
AVP	ENSG00000101200	HPA_tissue_enriched
MYLK2	ENSG00000101306	HPA_tissue_enriched
HAO1	ENSG00000101323	HPA_tissue_enriched
PDYN	ENSG00000101327	HPA_tissue_enriched
OXT	ENSG00000101405	HPA_tissue_enriched
BPI	ENSG00000101425	HPA_tissue_enriched
SLC32A1	ENSG00000101438	HPA_tissue_enriched
CST4	ENSG00000101441	HPA_tissue_enriched
VSIG1	ENSG00000101842	HPA_tissue_enriched
CACNA1F	ENSG00000102001	HPA_tissue_enriched
RS1	ENSG00000102104	HPA_tissue_enriched
GATA1	ENSG00000102145	HPA_tissue_enriched
BRS3	ENSG00000102239	HPA_tissue_enriched
TAF7L	ENSG00000102387	HPA_tissue_enriched
HTR2A	ENSG00000102468	HPA_tissue_enriched
MT4	ENSG00000102891	HPA_tissue_enriched
ZP2	ENSG00000103310	HPA_tissue_enriched
ENTREP2	ENSG00000104059	HPA_tissue_enriched
RP1	ENSG00000104237	HPA_tissue_enriched
FGL1	ENSG00000104760	HPA_tissue_enriched
CGB3	ENSG00000104827	HPA_tissue_enriched
DKKL1	ENSG00000104901	HPA_tissue_enriched
FCER2	ENSG00000104921	HPA_tissue_enriched
RSPH6A	ENSG00000104941	HPA_tissue_enriched
LILRA1	ENSG00000104974	HPA_tissue_enriched
CASP14	ENSG00000105141	HPA_tissue_enriched
SLC1A6	ENSG00000105143	HPA_tissue_enriched
FSD1	ENSG00000105255	HPA_tissue_enriched
CEACAM4	ENSG00000105352	HPA_tissue_enriched
ICAM5	ENSG00000105376	HPA_tissue_enriched
CRX	ENSG00000105392	HPA_tissue_enriched
SULT2A1	ENSG00000105398	HPA_tissue_enriched
SYNGR4	ENSG00000105467	HPA_tissue_enriched
THEG	ENSG00000105549	HPA_tissue_enriched
CACNG7	ENSG00000105605	HPA_tissue_enriched
KLF1	ENSG00000105610	HPA_tissue_enriched
MAST1	ENSG00000105613	HPA_tissue_enriched
KCNN1	ENSG00000105642	HPA_tissue_enriched
UPK1A	ENSG00000105668	HPA_tissue_enriched
ATP4A	ENSG00000105675	HPA_tissue_enriched
MAG	ENSG00000105695	HPA_tissue_enriched
DNAH11	ENSG00000105877	HPA_tissue_enriched
NPVF	ENSG00000105954	HPA_tissue_enriched
WNT2	ENSG00000105989	HPA_tissue_enriched
ANKRD7	ENSG00000106013	HPA_tissue_enriched
CRHR2	ENSG00000106113	HPA_tissue_enriched
TFR2	ENSG00000106327	HPA_tissue_enriched
FBXO24	ENSG00000106336	HPA_tissue_enriched
GALNTL5	ENSG00000106648	HPA_tissue_enriched
AMBP	ENSG00000106927	HPA_tissue_enriched
CA9	ENSG00000107159	HPA_tissue_enriched
LHX3	ENSG00000107187	HPA_tissue_enriched
DNTT	ENSG00000107447	HPA_tissue_enriched
CCL7	ENSG00000108688	HPA_tissue_enriched
PPY	ENSG00000108849	HPA_tissue_enriched
RCVRN	ENSG00000109047	HPA_tissue_enriched
MYH1	ENSG00000109061	HPA_tissue_enriched
UGT2B10	ENSG00000109181	HPA_tissue_enriched
ODAM	ENSG00000109205	HPA_tissue_enriched
ANXA10	ENSG00000109511	HPA_tissue_enriched
NKX3-2	ENSG00000109705	HPA_tissue_enriched
HGFAC	ENSG00000109758	HPA_tissue_enriched
CRTAM	ENSG00000109943	HPA_tissue_enriched
FOLR3	ENSG00000110203	HPA_tissue_enriched
APOA5	ENSG00000110243	HPA_tissue_enriched
APOA4	ENSG00000110244	HPA_tissue_enriched
UPK2	ENSG00000110375	HPA_tissue_enriched
IL23A	ENSG00000110944	HPA_tissue_enriched
PRMT8	ENSG00000111218	HPA_tissue_enriched
AKAP3	ENSG00000111254	HPA_tissue_enriched
KCNA1	ENSG00000111262	HPA_tissue_enriched
GPRC5D	ENSG00000111291	HPA_tissue_enriched
GSG1	ENSG00000111305	HPA_tissue_enriched
SLCO1B3	ENSG00000111700	HPA_tissue_enriched
APOBEC1	ENSG00000111701	HPA_tissue_enriched
GYS2	ENSG00000111713	HPA_tissue_enriched
AICDA	ENSG00000111732	HPA_tissue_enriched
MAK	ENSG00000111837	HPA_tissue_enriched
TULP1	ENSG00000112041	HPA_tissue_enriched
SLC26A8	ENSG00000112053	HPA_tissue_enriched
RHAG	ENSG00000112077	HPA_tissue_enriched
TSPO2	ENSG00000112212	HPA_tissue_enriched
CCR6	ENSG00000112486	HPA_tissue_enriched
SLC22A2	ENSG00000112499	HPA_tissue_enriched
IMPG1	ENSG00000112706	HPA_tissue_enriched
MEP1A	ENSG00000112818	HPA_tissue_enriched
ITK	ENSG00000113263	HPA_tissue_enriched
BTNL8	ENSG00000113303	HPA_tissue_enriched
C9	ENSG00000113600	HPA_tissue_enriched
CDX1	ENSG00000113722	HPA_tissue_enriched
UNC5A	ENSG00000113763	HPA_tissue_enriched
KNG1	ENSG00000113889	HPA_tissue_enriched
HRG	ENSG00000113905	HPA_tissue_enriched
CLDN16	ENSG00000113946	HPA_tissue_enriched
SERPINI2	ENSG00000114204	HPA_tissue_enriched
GNAT1	ENSG00000114349	HPA_tissue_enriched
ROPN1B	ENSG00000114547	HPA_tissue_enriched
APC2	ENSG00000115266	HPA_tissue_enriched
PRKAG3	ENSG00000115592	HPA_tissue_enriched
PROC	ENSG00000115718	HPA_tissue_enriched
LCT	ENSG00000115850	HPA_tissue_enriched
PAPPA2	ENSG00000116183	HPA_tissue_enriched
NPHS2	ENSG00000116218	HPA_tissue_enriched
DLGAP3	ENSG00000116544	HPA_tissue_enriched
PLA2G2D	ENSG00000117215	HPA_tissue_enriched
KIF17	ENSG00000117245	HPA_tissue_enriched
CR2	ENSG00000117322	HPA_tissue_enriched
SERPINC1	ENSG00000117601	HPA_tissue_enriched
SLC5A9	ENSG00000117834	HPA_tissue_enriched
A4GNT	ENSG00000118017	HPA_tissue_enriched
TREH	ENSG00000118094	HPA_tissue_enriched
MMP8	ENSG00000118113	HPA_tissue_enriched
ZNF541	ENSG00000118156	HPA_tissue_enriched
TNP1	ENSG00000118245	HPA_tissue_enriched
ARG1	ENSG00000118520	HPA_tissue_enriched
GHRH	ENSG00000118702	HPA_tissue_enriched
TRPM6	ENSG00000119121	HPA_tissue_enriched
ESRRB	ENSG00000119715	HPA_tissue_enriched
ELOVL3	ENSG00000119915	HPA_tissue_enriched
CPN1	ENSG00000120054	HPA_tissue_enriched
INSL4	ENSG00000120211	HPA_tissue_enriched
MLANA	ENSG00000120215	HPA_tissue_enriched
TTLL2	ENSG00000120440	HPA_tissue_enriched
TEX11	ENSG00000120498	HPA_tissue_enriched
ARR3	ENSG00000120500	HPA_tissue_enriched
CHRNA2	ENSG00000120903	HPA_tissue_enriched
NPPB	ENSG00000120937	HPA_tissue_enriched
EPX	ENSG00000121053	HPA_tissue_enriched
TEX14	ENSG00000121101	HPA_tissue_enriched
ABCC11	ENSG00000121270	HPA_tissue_enriched
PRB2	ENSG00000121335	HPA_tissue_enriched
IAPP	ENSG00000121351	HPA_tissue_enriched
RGSL1	ENSG00000121446	HPA_tissue_enriched
LHX4	ENSG00000121454	HPA_tissue_enriched
TMEM156	ENSG00000121895	HPA_tissue_enriched
HPCA	ENSG00000121905	HPA_tissue_enriched
TMIGD3	ENSG00000121933	HPA_tissue_enriched
OBP2A	ENSG00000122136	HPA_tissue_enriched
LAX1	ENSG00000122188	HPA_tissue_enriched
PLG	ENSG00000122194	HPA_tissue_enriched
SPINK4	ENSG00000122711	HPA_tissue_enriched
AKR1D1	ENSG00000122787	HPA_tissue_enriched
SFTPA1	ENSG00000122852	HPA_tissue_enriched
DBH	ENSG00000123454	HPA_tissue_enriched
ACVR1C	ENSG00000123612	HPA_tissue_enriched
GPR83	ENSG00000123901	HPA_tissue_enriched
FAM209A	ENSG00000124103	HPA_tissue_enriched
KCNS1	ENSG00000124134	HPA_tissue_enriched
SEMG2	ENSG00000124157	HPA_tissue_enriched
MATN4	ENSG00000124159	HPA_tissue_enriched
GTSF1L	ENSG00000124196	HPA_tissue_enriched
RBPJL	ENSG00000124232	HPA_tissue_enriched
SEMG1	ENSG00000124233	HPA_tissue_enriched
C20orf85	ENSG00000124237	HPA_tissue_enriched
TP53TG5	ENSG00000124251	HPA_tissue_enriched
CEACAM8	ENSG00000124469	HPA_tissue_enriched
SLC17A3	ENSG00000124564	HPA_tissue_enriched
CRISP1	ENSG00000124812	HPA_tissue_enriched
PIWIL1	ENSG00000125207	HPA_tissue_enriched
SLC10A2	ENSG00000125255	HPA_tissue_enriched
TEKT3	ENSG00000125409	HPA_tissue_enriched
FNDC11	ENSG00000125531	HPA_tissue_enriched
PLGLB2	ENSG00000125551	HPA_tissue_enriched
IL37	ENSG00000125571	HPA_tissue_enriched
DEFB126	ENSG00000125788	HPA_tissue_enriched
PAX1	ENSG00000125813	HPA_tissue_enriched
NKX2-2	ENSG00000125820	HPA_tissue_enriched
BANF2	ENSG00000125888	HPA_tissue_enriched
SIRPD	ENSG00000125900	HPA_tissue_enriched
DEFB129	ENSG00000125903	HPA_tissue_enriched
GDF5	ENSG00000125965	HPA_tissue_enriched
GRPR	ENSG00000126010	HPA_tissue_enriched
PROZ	ENSG00000126231	HPA_tissue_enriched
KIRREL2	ENSG00000126259	HPA_tissue_enriched
TSKS	ENSG00000126467	HPA_tissue_enriched
CSN1S1	ENSG00000126545	HPA_tissue_enriched
STATH	ENSG00000126549	HPA_tissue_enriched
HTN1	ENSG00000126550	HPA_tissue_enriched
PRKCG	ENSG00000126583	HPA_tissue_enriched
PZP	ENSG00000126838	HPA_tissue_enriched
OMG	ENSG00000126861	HPA_tissue_enriched
TAS2R4	ENSG00000127364	HPA_tissue_enriched
GNGT1	ENSG00000127928	HPA_tissue_enriched
RFPL1	ENSG00000128250	HPA_tissue_enriched
RFPL3	ENSG00000128276	HPA_tissue_enriched
MYOD1	ENSG00000129152	HPA_tissue_enriched
KCNC1	ENSG00000129159	HPA_tissue_enriched
SHBG	ENSG00000129214	HPA_tissue_enriched
AIPL1	ENSG00000129221	HPA_tissue_enriched
CHRNA10	ENSG00000129749	HPA_tissue_enriched
INS-IGF2	ENSG00000129965	HPA_tissue_enriched
NALF2	ENSG00000130054	HPA_tissue_enriched
TSPAN16	ENSG00000130167	HPA_tissue_enriched
GDF1	ENSG00000130283	HPA_tissue_enriched
NCAN	ENSG00000130287	HPA_tissue_enriched
EPO	ENSG00000130427	HPA_tissue_enriched
SULT4A1	ENSG00000130540	HPA_tissue_enriched
SAG	ENSG00000130561	HPA_tissue_enriched
CCDC62	ENSG00000130783	HPA_tissue_enriched
ANGPTL6	ENSG00000130812	HPA_tissue_enriched
BPIFA2	ENSG00000131050	HPA_tissue_enriched
PYY	ENSG00000131096	HPA_tissue_enriched
TEX101	ENSG00000131126	HPA_tissue_enriched
SLC34A1	ENSG00000131183	HPA_tissue_enriched
F12	ENSG00000131187	HPA_tissue_enriched
BARX1	ENSG00000131668	HPA_tissue_enriched
CA6	ENSG00000131686	HPA_tissue_enriched
KRT34	ENSG00000131737	HPA_tissue_enriched
KRT33B	ENSG00000131738	HPA_tissue_enriched
RTBDN	ENSG00000132026	HPA_tissue_enriched
SLC6A11	ENSG00000132164	HPA_tissue_enriched
FCRLA	ENSG00000132185	HPA_tissue_enriched
GUCY2D	ENSG00000132518	HPA_tissue_enriched
CRP	ENSG00000132693	HPA_tissue_enriched
HAPLN2	ENSG00000132702	HPA_tissue_enriched
APCS	ENSG00000132703	HPA_tissue_enriched
ANGPTL3	ENSG00000132855	HPA_tissue_enriched
PDE6A	ENSG00000132915	HPA_tissue_enriched
RNF17	ENSG00000132972	HPA_tissue_enriched
STOML3	ENSG00000133115	HPA_tissue_enriched
PLAAT2	ENSG00000133328	HPA_tissue_enriched
CATSPERB	ENSG00000133962	HPA_tissue_enriched
ADAMDEC1	ENSG00000134028	HPA_tissue_enriched
GNAT2	ENSG00000134183	HPA_tissue_enriched
REG4	ENSG00000134193	HPA_tissue_enriched
CHIA	ENSG00000134216	HPA_tissue_enriched
CRB1	ENSG00000134376	HPA_tissue_enriched
PRH2	ENSG00000134551	HPA_tissue_enriched
MYBPC3	ENSG00000134571	HPA_tissue_enriched
DSG1	ENSG00000134760	HPA_tissue_enriched
DSC1	ENSG00000134765	HPA_tissue_enriched
ACRV1	ENSG00000134940	HPA_tissue_enriched
CSN2	ENSG00000135222	HPA_tissue_enriched
UGT2B28	ENSG00000135226	HPA_tissue_enriched
GARIN1B	ENSG00000135248	HPA_tissue_enriched
KCP	ENSG00000135253	HPA_tissue_enriched
FAM186B	ENSG00000135436	HPA_tissue_enriched
KRT85	ENSG00000135443	HPA_tissue_enriched
EGR4	ENSG00000135625	HPA_tissue_enriched
CHST5	ENSG00000135702	HPA_tissue_enriched
CHRND	ENSG00000135902	HPA_tissue_enriched
STAB2	ENSG00000136011	HPA_tissue_enriched
PCDH8	ENSG00000136099	HPA_tissue_enriched
SPDYE1	ENSG00000136206	HPA_tissue_enriched
DGKB	ENSG00000136267	HPA_tissue_enriched
MYCBPAP	ENSG00000136449	HPA_tissue_enriched
CSH1	ENSG00000136488	HPA_tissue_enriched
SCN2A	ENSG00000136531	HPA_tissue_enriched
ERMN	ENSG00000136541	HPA_tissue_enriched
IL1F10	ENSG00000136697	HPA_tissue_enriched
GAD2	ENSG00000136750	HPA_tissue_enriched
BAAT	ENSG00000136881	HPA_tissue_enriched
GABBR2	ENSG00000136928	HPA_tissue_enriched
HEMGN	ENSG00000136929	HPA_tissue_enriched
LMX1B	ENSG00000136944	HPA_tissue_enriched
SIT1	ENSG00000137078	HPA_tissue_enriched
IGFBPL1	ENSG00000137142	HPA_tissue_enriched
SLC22A7	ENSG00000137204	HPA_tissue_enriched
CAPN11	ENSG00000137225	HPA_tissue_enriched
TINAG	ENSG00000137251	HPA_tissue_enriched
